stress_level,method,groups,mean_task_success,ci95_task_success,mean_unsafe_affordance_rejection_recall,ci95_unsafe_affordance_rejection_recall,mean_physical_violation_rate,ci95_physical_violation_rate,mean_test_query_cost,ci95_test_query_cost,mean_human_query_burden,ci95_human_query_burden,mean_planning_regret_to_oracle,ci95_planning_regret_to_oracle
0.0,failure_retrieval_policy,245,0.68532,0.00778,0.30067,0.01053,0.24066,0.00785,0.00295,0.00014,0.00000,0.00000,0.13750,0.00248
0.0,human_oracle_query_policy,245,0.80008,0.00741,0.61248,0.01282,0.19867,0.00726,0.02061,0.00058,0.24199,0.00765,0.08953,0.00218
0.0,llm_common_sense_replanner,245,0.64890,0.00939,0.06504,0.00579,0.27457,0.00863,0.00081,0.00007,0.00000,0.00000,0.15707,0.00307
0.0,model_to_model_deliberation,245,0.70338,0.00820,0.29226,0.01203,0.24356,0.00848,0.00108,0.00007,0.00000,0.00000,0.13006,0.00278
0.0,oracle_physical_assumption,245,0.84741,0.00629,0.92834,0.00602,0.18226,0.00727,0.00744,0.00032,0.04859,0.00390,0.07092,0.00175
0.0,proposed_executable_common_sense_tests,245,0.75832,0.00715,0.51658,0.01192,0.21931,0.00728,0.00923,0.00022,0.00000,0.00000,0.10858,0.00221
0.0,sequential_3d_affordance_reasoner,245,0.67841,0.00879,0.09536,0.00699,0.27057,0.00850,0.00183,0.00011,0.00000,0.00000,0.14083,0.00292
0.2,failure_retrieval_policy,245,0.64482,0.00893,0.26007,0.00990,0.26680,0.00893,0.00304,0.00014,0.00000,0.00000,0.16458,0.00310
0.2,human_oracle_query_policy,245,0.76303,0.00695,0.57448,0.01119,0.21060,0.00766,0.02343,0.00066,0.26413,0.00807,0.10521,0.00209
0.2,llm_common_sense_replanner,245,0.59686,0.00867,0.05499,0.00542,0.29388,0.00845,0.00081,0.00007,0.00000,0.00000,0.18703,0.00294
0.2,model_to_model_deliberation,245,0.66248,0.00855,0.25187,0.00978,0.26170,0.00810,0.00117,0.00008,0.00000,0.00000,0.15320,0.00275
0.2,oracle_physical_assumption,245,0.83297,0.00657,0.91409,0.00707,0.19152,0.00709,0.00828,0.00034,0.05275,0.00386,0.07940,0.00187
0.2,proposed_executable_common_sense_tests,245,0.72033,0.00751,0.50169,0.01171,0.23477,0.00826,0.01047,0.00024,0.00000,0.00000,0.12768,0.00252
