split,task,assumption,method,groups,assumption_diagnosis_accuracy,unsafe_affordance_rejection_recall,false_rejection_rate,calibration_error,test_informativeness,assumption_coverage,counterfactual_test_validity,task_success,physical_violation_rate,damage_spill_collision_rate,test_query_cost,human_query_burden,planning_regret_to_oracle,robust_utility
combined_common_sense_stress,cluttered_navigation_clearance,articulation_direction,active_perception_planner,10,0.7166666666666667,0.16166666666666668,0.0,0.23844860550666225,0.06582527725422195,0.3125,0.30017,0.4666666666666667,0.4333333333333333,0.15,0.022920441000000003,0.0,0.2606531323375314,-0.3519728525452181
combined_common_sense_stress,cluttered_navigation_clearance,articulation_direction,conformal_risk_filter,10,0.25,0.29333333333333333,0.05,0.10415690696621001,0.05457766147439085,0.55,0.24942666666666669,0.55,0.21666666666666665,0.016666666666666666,0.017593938,0.0,0.19954517256663745,0.14097705603886065
combined_common_sense_stress,cluttered_navigation_clearance,articulation_direction,direct_vlm_action_policy,10,0.049999999999999996,0.0,0.0,0.08434446929790136,0.0,0.5,0.09999999999999999,0.2833333333333333,0.4166666666666667,0.13333333333333333,0.00023600000000000007,0.0,0.3592419576911841,-0.5541467120390705
combined_common_sense_stress,cluttered_navigation_clearance,articulation_direction,executable_common_sense_tests_v4,10,0.5833333333333333,0.215,0.15,0.19346901924342808,0.09319573791530361,0.3625,0.3713066666666667,0.65,0.3333333333333333,0.11666666666666665,0.020059515,0.0,0.2422906215463391,-0.03698499955151057
combined_common_sense_stress,cluttered_navigation_clearance,articulation_direction,failure_retrieval_policy,10,0.48333333333333334,0.05666666666666667,0.03333333333333333,0.2681452349430998,0.02081234173333084,0.4625,0.24850666666666668,0.39999999999999997,0.5166666666666666,0.15,0.007192749,0.0,0.33146374105456,-0.5408468698288732
combined_common_sense_stress,cluttered_navigation_clearance,articulation_direction,human_oracle_query_policy,10,0.7333333333333334,0.455,0.15,0.169700172664356,0.018837387605994654,0.2875,0.2375733333333333,0.6,0.2833333333333333,0.09999999999999999,0.051928824,0.45,0.19690210056387242,0.025440790559099747
combined_common_sense_stress,cluttered_navigation_clearance,articulation_direction,llm_common_sense_replanner,10,0.3,0.0,0.0,0.17047455205542753,0.0010847882421513495,0.5,0.19990666666666668,0.35,0.5666666666666667,0.18333333333333332,0.0008814460000000001,0.0,0.37815488163479616,-0.6882574875072769
combined_common_sense_stress,cluttered_navigation_clearance,articulation_direction,model_to_model_deliberation,10,0.3,0.0,0.0,0.20107821862557315,0.005009298531603762,0.4875,0.2551066666666667,0.4,0.36666666666666664,0.15,0.0027109720000000007,0.0,0.310241131526305,-0.36361129547595533
combined_common_sense_stress,cluttered_navigation_clearance,articulation_direction,no_test_calibrated_affordance,10,0.4666666666666667,0.0,0.0,0.20011900755602918,0.0,0.4625,0.18920000000000003,0.3833333333333333,0.4166666666666667,0.11666666666666665,0.002950000000000001,0.0,0.30136726533795727,-0.4104521947780923
combined_common_sense_stress,cluttered_navigation_clearance,articulation_direction,oracle_physical_assumption,10,0.9666666666666667,0.8150000000000001,0.4666666666666667,0.09785446609523987,0.09150582631805482,0.15,0.47264,0.8,0.23333333333333334,0.03333333333333333,0.026429805333333334,0.13333333333333333,0.1005984136919683,0.3901020349027949
combined_common_sense_stress,cluttered_navigation_clearance,articulation_direction,policy_repair_from_failed_rollouts,10,0.5499999999999999,0.115,0.0,0.16145328711916915,0.024971293323641022,0.425,0.2867133333333334,0.4666666666666667,0.5166666666666666,0.09999999999999999,0.009120927,0.0,0.2738357928535373,-0.4133579436270058
combined_common_sense_stress,cluttered_navigation_clearance,articulation_direction,risk_bounded_executable_common_sense_tests_v5,10,0.65,0.4766666666666667,0.5,0.18059991901170866,0.10835814990662093,0.375,0.4280666666666667,0.5333333333333333,0.39999999999999997,0.06666666666666667,0.022047712999999997,0.0,0.21771495546224476,-0.14685013274127373
combined_common_sense_stress,cluttered_navigation_clearance,articulation_direction,sequential_3d_affordance_reasoner,10,0.41666666666666663,0.0,0.0,0.17388149413619225,0.0034888987875684877,0.4875,0.17426666666666668,0.3333333333333333,0.5,0.11666666666666665,0.0033391100000000006,0.0,0.33544566774315554,-0.5724852306671102
combined_common_sense_stress,cluttered_navigation_clearance,articulation_direction,uncertainty_threshold_probe,10,0.36666666666666664,0.23333333333333334,0.13333333333333333,0.22292874173043487,0.09974307559433573,0.5375,0.34417333333333333,0.39999999999999997,0.45,0.16666666666666666,0.032075371,0.0,0.3259040760791191,-0.48597436388012155
