method_a,method_b,split,metric,mean_diff_a_minus_b,ci95_diff,paired_groups
proposed_executable_common_sense_tests,human_oracle_query_policy,combined_common_sense_stress,task_success,-0.06600,0.01009,245
proposed_executable_common_sense_tests,human_oracle_query_policy,combined_common_sense_stress,physical_violation_rate,0.02662,0.00856,245
proposed_executable_common_sense_tests,human_oracle_query_policy,combined_common_sense_stress,damage_spill_collision_rate,0.01526,0.00538,245
proposed_executable_common_sense_tests,human_oracle_query_policy,combined_common_sense_stress,test_query_cost,-0.02483,0.00070,245
proposed_executable_common_sense_tests,human_oracle_query_policy,combined_common_sense_stress,human_query_burden,-0.37695,0.00643,245
proposed_executable_common_sense_tests,human_oracle_query_policy,combined_common_sense_stress,planning_regret_to_oracle,0.03144,0.00281,245
proposed_executable_common_sense_tests,human_oracle_query_policy,combined_common_sense_stress,unsafe_affordance_rejection_recall,-0.03870,0.01062,245
