method,split,groups,mean_assumption_diagnosis_accuracy,ci95_assumption_diagnosis_accuracy,mean_unsafe_affordance_rejection_recall,ci95_unsafe_affordance_rejection_recall,mean_false_rejection_rate,ci95_false_rejection_rate,mean_calibration_error,ci95_calibration_error,mean_test_informativeness,ci95_test_informativeness,mean_task_success,ci95_task_success,mean_physical_violation_rate,ci95_physical_violation_rate,mean_damage_spill_collision_rate,ci95_damage_spill_collision_rate,mean_test_query_cost,ci95_test_query_cost,mean_human_query_burden,ci95_human_query_burden,mean_planning_regret_to_oracle,ci95_planning_regret_to_oracle
sequential_3d_affordance_reasoner,combined_common_sense_stress,245,0.38019,0.00667,0.02635,0.00245,0.02729,0.00446,0.06798,0.00573,0.00734,0.00034,0.43460,0.00776,0.39420,0.00793,0.12964,0.00473,0.00244,0.00011,0.00000,0.00000,0.29510,0.00326
sequential_3d_affordance_reasoner,counterintuitive_physics_shift,245,0.42579,0.00644,0.03086,0.00290,0.02943,0.00410,0.08730,0.00614,0.00895,0.00039,0.51953,0.00729,0.35088,0.00760,0.12226,0.00482,0.00241,0.00010,0.00000,0.00000,0.24193,0.00305
sequential_3d_affordance_reasoner,language_goal_ambiguity_shift,245,0.45979,0.00640,0.06649,0.00444,0.06682,0.00537,0.10332,0.00606,0.00770,0.00032,0.58641,0.00691,0.30473,0.00752,0.07797,0.00387,0.00208,0.00009,0.00000,0.00000,0.19737,0.00275
sequential_3d_affordance_reasoner,nominal_household,245,0.54569,0.00679,0.09182,0.00573,0.09662,0.00619,0.14123,0.00684,0.00796,0.00035,0.68237,0.00680,0.26415,0.00656,0.06081,0.00353,0.00185,0.00008,0.00000,0.00000,0.14007,0.00252
sequential_3d_affordance_reasoner,visual_ambiguity_shift,245,0.50019,0.00738,0.07251,0.00427,0.07057,0.00569,0.12254,0.00697,0.00772,0.00034,0.57764,0.00730,0.30186,0.00759,0.07607,0.00401,0.00213,0.00009,0.00000,0.00000,0.20106,0.00305
uncertainty_threshold_probe,combined_common_sense_stress,245,0.25974,0.00581,0.24441,0.00674,0.24003,0.01167,0.03974,0.00398,0.08008,0.00104,0.47045,0.00720,0.34443,0.00739,0.10640,0.00415,0.02760,0.00032,0.00000,0.00000,0.26808,0.00301
uncertainty_threshold_probe,counterintuitive_physics_shift,245,0.32653,0.00595,0.27221,0.00761,0.27196,0.01074,0.06158,0.00468,0.08134,0.00101,0.56452,0.00668,0.30130,0.00707,0.09759,0.00429,0.02393,0.00029,0.00000,0.00000,0.21588,0.00267
uncertainty_threshold_probe,language_goal_ambiguity_shift,245,0.33288,0.00674,0.28792,0.00869,0.28633,0.00959,0.06888,0.00551,0.06926,0.00105,0.60413,0.00667,0.26336,0.00682,0.06118,0.00347,0.02062,0.00029,0.00000,0.00000,0.18543,0.00231
uncertainty_threshold_probe,nominal_household,245,0.43534,0.00680,0.31447,0.00853,0.31789,0.00894,0.11653,0.00686,0.06488,0.00092,0.69077,0.00599,0.23442,0.00647,0.04768,0.00312,0.01710,0.00023,0.00000,0.00000,0.13794,0.00227
uncertainty_threshold_probe,visual_ambiguity_shift,245,0.36990,0.00622,0.30189,0.00789,0.29656,0.00973,0.08202,0.00587,0.06872,0.00095,0.60399,0.00669,0.26994,0.00718,0.06276,0.00344,0.02049,0.00026,0.00000,0.00000,0.18904,0.00263
