method,split,groups,mean_assumption_diagnosis_accuracy,ci95_assumption_diagnosis_accuracy,mean_unsafe_affordance_rejection_recall,ci95_unsafe_affordance_rejection_recall,mean_false_rejection_rate,ci95_false_rejection_rate,mean_calibration_error,ci95_calibration_error,mean_test_informativeness,ci95_test_informativeness,mean_task_success,ci95_task_success,mean_physical_violation_rate,ci95_physical_violation_rate,mean_damage_spill_collision_rate,ci95_damage_spill_collision_rate,mean_test_query_cost,ci95_test_query_cost,mean_human_query_burden,ci95_human_query_burden,mean_planning_regret_to_oracle,ci95_planning_regret_to_oracle
direct_vlm_action_policy,combined_common_sense_stress,245,0.07305,0.00368,0.00000,0.00000,0.00000,0.00000,0.07310,0.00354,0.00000,0.00000,0.36568,0.00692,0.40204,0.00768,0.12746,0.00537,0.00000,0.00000,0.00000,0.00000,0.32974,0.00321
direct_vlm_action_policy,counterintuitive_physics_shift,245,0.13455,0.00465,0.00006,0.00011,0.00014,0.00028,0.04016,0.00342,0.00000,0.00000,0.45167,0.00756,0.36846,0.00798,0.12347,0.00486,0.00000,0.00000,0.00000,0.00000,0.27883,0.00318
direct_vlm_action_policy,language_goal_ambiguity_shift,245,0.18033,0.00528,0.00081,0.00050,0.00065,0.00052,0.03430,0.00312,0.00000,0.00000,0.51484,0.00757,0.32365,0.00716,0.08103,0.00386,0.00000,0.00000,0.00000,0.00000,0.23524,0.00288
direct_vlm_action_policy,nominal_household,245,0.28061,0.00617,0.00137,0.00068,0.00130,0.00072,0.06650,0.00535,0.00000,0.00000,0.61767,0.00778,0.29564,0.00718,0.06670,0.00350,0.00000,0.00000,0.00000,0.00000,0.17806,0.00279
direct_vlm_action_policy,visual_ambiguity_shift,245,0.20227,0.00566,0.00070,0.00046,0.00060,0.00052,0.03824,0.00338,0.00000,0.00000,0.50399,0.00732,0.32811,0.00755,0.08442,0.00416,0.00000,0.00000,0.00000,0.00000,0.24208,0.00307
failure_retrieval_policy,combined_common_sense_stress,245,0.42310,0.00659,0.12849,0.00463,0.12897,0.00943,0.08231,0.00592,0.01343,0.00049,0.45218,0.00761,0.37709,0.00779,0.11971,0.00499,0.00420,0.00015,0.00000,0.00000,0.28548,0.00319
failure_retrieval_policy,counterintuitive_physics_shift,245,0.47101,0.00613,0.14275,0.00564,0.14238,0.00845,0.10251,0.00598,0.01602,0.00053,0.53488,0.00753,0.33381,0.00694,0.11387,0.00440,0.00413,0.00014,0.00000,0.00000,0.23373,0.00302
failure_retrieval_policy,language_goal_ambiguity_shift,245,0.51294,0.00668,0.25428,0.00738,0.24767,0.00836,0.12549,0.00649,0.01372,0.00052,0.59485,0.00690,0.27931,0.00694,0.06285,0.00323,0.00356,0.00013,0.00000,0.00000,0.18864,0.00256
failure_retrieval_policy,nominal_household,245,0.60223,0.00631,0.31348,0.00983,0.31643,0.00908,0.16794,0.00631,0.01316,0.00048,0.68738,0.00659,0.24295,0.00691,0.04754,0.00296,0.00297,0.00011,0.00000,0.00000,0.13711,0.00228
failure_retrieval_policy,visual_ambiguity_shift,245,0.54091,0.00727,0.26060,0.00788,0.26407,0.00972,0.13823,0.00706,0.01320,0.00048,0.58562,0.00723,0.28145,0.00695,0.06498,0.00363,0.00347,0.00012,0.00000,0.00000,0.19280,0.00261
human_oracle_query_policy,combined_common_sense_stress,245,0.72166,0.00657,0.45736,0.00786,0.45659,0.01348,0.09181,0.00603,0.01171,0.00047,0.63326,0.00658,0.29184,0.00687,0.07871,0.00396,0.03973,0.00063,0.37695,0.00643,0.18558,0.00240
human_oracle_query_policy,counterintuitive_physics_shift,245,0.74583,0.00583,0.43048,0.00846,0.43312,0.01213,0.10313,0.00574,0.01372,0.00054,0.69026,0.00678,0.26906,0.00687,0.07936,0.00408,0.02939,0.00054,0.30946,0.00638,0.15474,0.00256
human_oracle_query_policy,language_goal_ambiguity_shift,245,0.80366,0.00550,0.60065,0.00850,0.58664,0.00989,0.11732,0.00546,0.01145,0.00049,0.73622,0.00600,0.22096,0.00647,0.03748,0.00284,0.03475,0.00059,0.34286,0.00632,0.12225,0.00198
human_oracle_query_policy,nominal_household,245,0.84694,0.00488,0.60101,0.00939,0.60563,0.00910,0.12762,0.00480,0.01108,0.00047,0.79504,0.00571,0.20343,0.00608,0.03080,0.00242,0.02036,0.00041,0.24021,0.00540,0.09119,0.00180
human_oracle_query_policy,visual_ambiguity_shift,245,0.81076,0.00537,0.56859,0.00856,0.56837,0.01103,0.12064,0.00544,0.01094,0.00050,0.72695,0.00638,0.22185,0.00675,0.03785,0.00285,0.02552,0.00052,0.28186,0.00632,0.12555,0.00222
llm_common_sense_replanner,combined_common_sense_stress,245,0.29801,0.00651,0.01125,0.00174,0.01339,0.00364,0.05180,0.00456,0.00178,0.00014,0.39485,0.00778,0.39508,0.00778,0.13414,0.00510,0.00079,0.00006,0.00000,0.00000,0.31364,0.00330
llm_common_sense_replanner,counterintuitive_physics_shift,245,0.33483,0.00644,0.01286,0.00186,0.01247,0.00258,0.06116,0.00511,0.00281,0.00016,0.48905,0.00753,0.35886,0.00704,0.12430,0.00471,0.00094,0.00005,0.00000,0.00000,0.26097,0.00305
llm_common_sense_replanner,language_goal_ambiguity_shift,245,0.40826,0.00636,0.04747,0.00389,0.04903,0.00425,0.09520,0.00615,0.00258,0.00016,0.55005,0.00766,0.31466,0.00761,0.07755,0.00414,0.00085,0.00005,0.00000,0.00000,0.21558,0.00290
llm_common_sense_replanner,nominal_household,245,0.47676,0.00685,0.06661,0.00502,0.06614,0.00468,0.13079,0.00686,0.00309,0.00020,0.64824,0.00680,0.27120,0.00731,0.06568,0.00355,0.00085,0.00005,0.00000,0.00000,0.15733,0.00275
llm_common_sense_replanner,visual_ambiguity_shift,245,0.39940,0.00700,0.04148,0.00359,0.04726,0.00471,0.09167,0.00649,0.00245,0.00016,0.54133,0.00748,0.30640,0.00758,0.07931,0.00404,0.00084,0.00005,0.00000,0.00000,0.22028,0.00303
model_to_model_deliberation,combined_common_sense_stress,245,0.48590,0.00701,0.10662,0.00430,0.11722,0.00846,0.05840,0.00532,0.00363,0.00022,0.45844,0.00714,0.36507,0.00804,0.12083,0.00480,0.00124,0.00007,0.00000,0.00000,0.27593,0.00317
model_to_model_deliberation,counterintuitive_physics_shift,245,0.51679,0.00694,0.11056,0.00466,0.10999,0.00748,0.06771,0.00538,0.00516,0.00025,0.54476,0.00771,0.33237,0.00772,0.11350,0.00483,0.00137,0.00007,0.00000,0.00000,0.22589,0.00308
model_to_model_deliberation,language_goal_ambiguity_shift,245,0.57648,0.00612,0.23746,0.00768,0.24275,0.00903,0.07947,0.00586,0.00460,0.00020,0.60914,0.00714,0.28103,0.00721,0.06684,0.00377,0.00121,0.00005,0.00000,0.00000,0.18060,0.00259
model_to_model_deliberation,nominal_household,245,0.63989,0.00686,0.29993,0.00894,0.29065,0.00926,0.10253,0.00677,0.00485,0.00026,0.70631,0.00671,0.23887,0.00629,0.04814,0.00317,0.00108,0.00006,0.00000,0.00000,0.12778,0.00224
model_to_model_deliberation,visual_ambiguity_shift,245,0.58483,0.00691,0.24448,0.00736,0.23532,0.00925,0.08559,0.00601,0.00450,0.00024,0.60784,0.00762,0.27542,0.00719,0.06735,0.00394,0.00123,0.00007,0.00000,0.00000,0.18242,0.00291
oracle_physical_assumption,combined_common_sense_stress,245,0.98664,0.00161,0.85756,0.00537,0.85924,0.00964,0.10833,0.00175,0.06013,0.00128,0.75162,0.00581,0.24402,0.00708,0.05292,0.00349,0.01379,0.00037,0.08316,0.00381,0.11758,0.00213
oracle_physical_assumption,counterintuitive_physics_shift,245,0.98446,0.00177,0.84500,0.00591,0.83803,0.00847,0.10578,0.00189,0.05810,0.00126,0.79471,0.00575,0.22491,0.00561,0.05274,0.00320,0.00969,0.00028,0.05719,0.00300,0.10160,0.00176
oracle_physical_assumption,language_goal_ambiguity_shift,245,0.98520,0.00167,0.92246,0.00473,0.92195,0.00596,0.10652,0.00182,0.05260,0.00116,0.81503,0.00531,0.19550,0.00658,0.02310,0.00235,0.01270,0.00035,0.08808,0.00365,0.08971,0.00172
oracle_physical_assumption,nominal_household,245,0.98534,0.00157,0.93052,0.00473,0.92543,0.00523,0.10686,0.00181,0.04956,0.00101,0.84796,0.00522,0.16878,0.00545,0.01614,0.00169,0.00737,0.00020,0.04768,0.00259,0.06927,0.00151
oracle_physical_assumption,visual_ambiguity_shift,245,0.98330,0.00176,0.92081,0.00464,0.91898,0.00572,0.10466,0.00190,0.05336,0.00117,0.81081,0.00515,0.19601,0.00635,0.02259,0.00218,0.00893,0.00027,0.05445,0.00305,0.08941,0.00170
proposed_executable_common_sense_tests,combined_common_sense_stress,245,0.54569,0.00657,0.41866,0.00765,0.42665,0.01436,0.09339,0.00635,0.06825,0.00113,0.56725,0.00807,0.31846,0.00739,0.09397,0.00448,0.01490,0.00024,0.00000,0.00000,0.21702,0.00288
proposed_executable_common_sense_tests,counterintuitive_physics_shift,245,0.58748,0.00690,0.43534,0.00849,0.44163,0.01200,0.11078,0.00655,0.06988,0.00120,0.65445,0.00684,0.27797,0.00695,0.09063,0.00402,0.01317,0.00022,0.00000,0.00000,0.17411,0.00255
proposed_executable_common_sense_tests,language_goal_ambiguity_shift,245,0.60909,0.00661,0.48590,0.00981,0.47942,0.01106,0.12215,0.00635,0.05837,0.00122,0.67774,0.00637,0.24587,0.00655,0.04949,0.00274,0.01116,0.00022,0.00000,0.00000,0.14834,0.00203
proposed_executable_common_sense_tests,nominal_household,245,0.67379,0.00617,0.52511,0.00949,0.52042,0.00934,0.14510,0.00625,0.05432,0.00110,0.75255,0.00601,0.21141,0.00634,0.03766,0.00268,0.00926,0.00018,0.00000,0.00000,0.10745,0.00208
proposed_executable_common_sense_tests,visual_ambiguity_shift,245,0.62653,0.00567,0.49218,0.00810,0.48226,0.01111,0.12552,0.00572,0.05839,0.00103,0.67737,0.00713,0.24907,0.00672,0.05190,0.00323,0.01113,0.00019,0.00000,0.00000,0.15046,0.00229
