variant,split,seed,episodes,success_rate,tail_risk,calibration_error
observed_only_behavior_clone,nominal,0,600,0.6217,0.3783,0.0308
observed_only_behavior_clone,nominal,1,600,0.5817,0.4183,0.0019
observed_only_behavior_clone,nominal,2,600,0.5967,0.4033,0.0047
observed_only_behavior_clone,nominal,3,600,0.6050,0.3950,0.0174
observed_only_behavior_clone,nominal,4,600,0.6033,0.3967,0.0116
observed_only_behavior_clone,nominal,5,600,0.6417,0.3583,0.0555
observed_only_behavior_clone,nominal,6,600,0.5750,0.4250,0.0056
observed_only_behavior_clone,hidden_mode_shift,0,600,0.4417,0.5583,0.0305
observed_only_behavior_clone,hidden_mode_shift,1,600,0.4067,0.5933,0.0028
observed_only_behavior_clone,hidden_mode_shift,2,600,0.3883,0.6117,0.0239
observed_only_behavior_clone,hidden_mode_shift,3,600,0.4317,0.5683,0.0238
observed_only_behavior_clone,hidden_mode_shift,4,600,0.4367,0.5633,0.0247
observed_only_behavior_clone,hidden_mode_shift,5,600,0.4083,0.5917,0.0019
observed_only_behavior_clone,hidden_mode_shift,6,600,0.4383,0.5617,0.0375
observed_only_behavior_clone,embodiment_shift,0,600,0.4767,0.5233,0.0329
observed_only_behavior_clone,embodiment_shift,1,600,0.4333,0.5667,0.0032
observed_only_behavior_clone,embodiment_shift,2,600,0.4200,0.5800,0.0249
observed_only_behavior_clone,embodiment_shift,3,600,0.4250,0.5750,0.0155
observed_only_behavior_clone,embodiment_shift,4,600,0.4100,0.5900,0.0346
observed_only_behavior_clone,embodiment_shift,5,600,0.4400,0.5600,0.0010
observed_only_behavior_clone,embodiment_shift,6,600,0.4183,0.5817,0.0151
observed_only_behavior_clone,combined_stress,0,600,0.3233,0.6767,0.0029
observed_only_behavior_clone,combined_stress,1,600,0.3067,0.6933,0.0122
observed_only_behavior_clone,combined_stress,2,600,0.3267,0.6733,0.0006
observed_only_behavior_clone,combined_stress,3,600,0.3183,0.6817,0.0046
observed_only_behavior_clone,combined_stress,4,600,0.3033,0.6967,0.0237
observed_only_behavior_clone,combined_stress,5,600,0.3317,0.6683,0.0102
observed_only_behavior_clone,combined_stress,6,600,0.3350,0.6650,0.0191
data_augmentation_wam,nominal,0,600,0.6300,0.3700,0.0172
data_augmentation_wam,nominal,1,600,0.6450,0.3550,0.0041
data_augmentation_wam,nominal,2,600,0.6400,0.3600,0.0042
data_augmentation_wam,nominal,3,600,0.6117,0.3883,0.0323
data_augmentation_wam,nominal,4,600,0.6667,0.3333,0.0310
data_augmentation_wam,nominal,5,600,0.6517,0.3483,0.0095
data_augmentation_wam,nominal,6,600,0.6433,0.3567,0.0004
data_augmentation_wam,hidden_mode_shift,0,600,0.4950,0.5050,0.0019
data_augmentation_wam,hidden_mode_shift,1,600,0.5433,0.4567,0.0527
data_augmentation_wam,hidden_mode_shift,2,600,0.4817,0.5183,0.0038
data_augmentation_wam,hidden_mode_shift,3,600,0.4833,0.5167,0.0103
data_augmentation_wam,hidden_mode_shift,4,600,0.4867,0.5133,0.0013
data_augmentation_wam,hidden_mode_shift,5,600,0.5250,0.4750,0.0332
data_augmentation_wam,hidden_mode_shift,6,600,0.4967,0.5033,0.0032
data_augmentation_wam,embodiment_shift,0,600,0.5117,0.4883,0.0126
data_augmentation_wam,embodiment_shift,1,600,0.5200,0.4800,0.0020
data_augmentation_wam,embodiment_shift,2,600,0.4867,0.5133,0.0262
data_augmentation_wam,embodiment_shift,3,600,0.5150,0.4850,0.0060
data_augmentation_wam,embodiment_shift,4,600,0.5233,0.4767,0.0105
data_augmentation_wam,embodiment_shift,5,600,0.5217,0.4783,0.0024
data_augmentation_wam,embodiment_shift,6,600,0.5317,0.4683,0.0108
data_augmentation_wam,combined_stress,0,600,0.3983,0.6017,0.0276
data_augmentation_wam,combined_stress,1,600,0.4200,0.5800,0.0004
data_augmentation_wam,combined_stress,2,600,0.3900,0.6100,0.0245
data_augmentation_wam,combined_stress,3,600,0.4367,0.5633,0.0140
data_augmentation_wam,combined_stress,4,600,0.4117,0.5883,0.0027
data_augmentation_wam,combined_stress,5,600,0.4483,0.5517,0.0275
data_augmentation_wam,combined_stress,6,600,0.4133,0.5867,0.0091
scalar_uncertainty_planner,nominal,0,600,0.6750,0.3250,0.0047
scalar_uncertainty_planner,nominal,1,600,0.6767,0.3233,0.0128
scalar_uncertainty_planner,nominal,2,600,0.6583,0.3417,0.0116
scalar_uncertainty_planner,nominal,3,600,0.7067,0.2933,0.0186
scalar_uncertainty_planner,nominal,4,600,0.7183,0.2817,0.0277
scalar_uncertainty_planner,nominal,5,600,0.6817,0.3183,0.0018
scalar_uncertainty_planner,nominal,6,600,0.6783,0.3217,0.0142
scalar_uncertainty_planner,hidden_mode_shift,0,600,0.5267,0.4733,0.0221
scalar_uncertainty_planner,hidden_mode_shift,1,600,0.5800,0.4200,0.0121
scalar_uncertainty_planner,hidden_mode_shift,2,600,0.5467,0.4533,0.0018
scalar_uncertainty_planner,hidden_mode_shift,3,600,0.5717,0.4283,0.0051
scalar_uncertainty_planner,hidden_mode_shift,4,600,0.5767,0.4233,0.0075
scalar_uncertainty_planner,hidden_mode_shift,5,600,0.5300,0.4700,0.0319
scalar_uncertainty_planner,hidden_mode_shift,6,600,0.5317,0.4683,0.0393
scalar_uncertainty_planner,embodiment_shift,0,600,0.5767,0.4233,0.0059
scalar_uncertainty_planner,embodiment_shift,1,600,0.5650,0.4350,0.0249
scalar_uncertainty_planner,embodiment_shift,2,600,0.5667,0.4333,0.0038
scalar_uncertainty_planner,embodiment_shift,3,600,0.6217,0.3783,0.0331
scalar_uncertainty_planner,embodiment_shift,4,600,0.6050,0.3950,0.0139
scalar_uncertainty_planner,embodiment_shift,5,600,0.5417,0.4583,0.0423
scalar_uncertainty_planner,embodiment_shift,6,600,0.5850,0.4150,0.0080
scalar_uncertainty_planner,combined_stress,0,600,0.4950,0.5050,0.0037
scalar_uncertainty_planner,combined_stress,1,600,0.4800,0.5200,0.0304
scalar_uncertainty_planner,combined_stress,2,600,0.4933,0.5067,0.0024
scalar_uncertainty_planner,combined_stress,3,600,0.5017,0.4983,0.0074
scalar_uncertainty_planner,combined_stress,4,600,0.5133,0.4867,0.0017
scalar_uncertainty_planner,combined_stress,5,600,0.4983,0.5017,0.0061
scalar_uncertainty_planner,combined_stress,6,600,0.4933,0.5067,0.0202
ensemble_disagreement_planner,nominal,0,600,0.6950,0.3050,0.0077
ensemble_disagreement_planner,nominal,1,600,0.7300,0.2700,0.0255
ensemble_disagreement_planner,nominal,2,600,0.7317,0.2683,0.0199
ensemble_disagreement_planner,nominal,3,600,0.7133,0.2867,0.0099
ensemble_disagreement_planner,nominal,4,600,0.7200,0.2800,0.0200
ensemble_disagreement_planner,nominal,5,600,0.7400,0.2600,0.0271
ensemble_disagreement_planner,nominal,6,600,0.6867,0.3133,0.0029
ensemble_disagreement_planner,hidden_mode_shift,0,600,0.6067,0.3933,0.0108
ensemble_disagreement_planner,hidden_mode_shift,1,600,0.6067,0.3933,0.0090
ensemble_disagreement_planner,hidden_mode_shift,2,600,0.5700,0.4300,0.0350
ensemble_disagreement_planner,hidden_mode_shift,3,600,0.5950,0.4050,0.0016
ensemble_disagreement_planner,hidden_mode_shift,4,600,0.6117,0.3883,0.0185
ensemble_disagreement_planner,hidden_mode_shift,5,600,0.6183,0.3817,0.0122
ensemble_disagreement_planner,hidden_mode_shift,6,600,0.5933,0.4067,0.0106
ensemble_disagreement_planner,embodiment_shift,0,600,0.5833,0.4167,0.0320
ensemble_disagreement_planner,embodiment_shift,1,600,0.5967,0.4033,0.0204
ensemble_disagreement_planner,embodiment_shift,2,600,0.6267,0.3733,0.0023
ensemble_disagreement_planner,embodiment_shift,3,600,0.6083,0.3917,0.0077
ensemble_disagreement_planner,embodiment_shift,4,600,0.6050,0.3950,0.0076
ensemble_disagreement_planner,embodiment_shift,5,600,0.6300,0.3700,0.0045
ensemble_disagreement_planner,embodiment_shift,6,600,0.5683,0.4317,0.0338
ensemble_disagreement_planner,combined_stress,0,600,0.5567,0.4433,0.0113
ensemble_disagreement_planner,combined_stress,1,600,0.5483,0.4517,0.0011
ensemble_disagreement_planner,combined_stress,2,600,0.5583,0.4417,0.0038
ensemble_disagreement_planner,combined_stress,3,600,0.5433,0.4567,0.0028
ensemble_disagreement_planner,combined_stress,4,600,0.5300,0.4700,0.0127
ensemble_disagreement_planner,combined_stress,5,600,0.5683,0.4317,0.0127
ensemble_disagreement_planner,combined_stress,6,600,0.4967,0.5033,0.0356
conformal_risk_filter,nominal,0,600,0.6900,0.3100,0.0135
conformal_risk_filter,nominal,1,600,0.7067,0.2933,0.0035
conformal_risk_filter,nominal,2,600,0.7033,0.2967,0.0019
conformal_risk_filter,nominal,3,600,0.6517,0.3483,0.0486
conformal_risk_filter,nominal,4,600,0.7317,0.2683,0.0324
conformal_risk_filter,nominal,5,600,0.7367,0.2633,0.0228
conformal_risk_filter,nominal,6,600,0.7317,0.2683,0.0104
conformal_risk_filter,hidden_mode_shift,0,600,0.5983,0.4017,0.0057
conformal_risk_filter,hidden_mode_shift,1,600,0.6350,0.3650,0.0313
conformal_risk_filter,hidden_mode_shift,2,600,0.6000,0.4000,0.0057
conformal_risk_filter,hidden_mode_shift,3,600,0.6083,0.3917,0.0075
conformal_risk_filter,hidden_mode_shift,4,600,0.6167,0.3833,0.0168
conformal_risk_filter,hidden_mode_shift,5,600,0.6433,0.3567,0.0289
conformal_risk_filter,hidden_mode_shift,6,600,0.6350,0.3650,0.0132
conformal_risk_filter,embodiment_shift,0,600,0.5917,0.4083,0.0305
conformal_risk_filter,embodiment_shift,1,600,0.6183,0.3817,0.0035
conformal_risk_filter,embodiment_shift,2,600,0.6300,0.3700,0.0062
conformal_risk_filter,embodiment_shift,3,600,0.6117,0.3883,0.0073
conformal_risk_filter,embodiment_shift,4,600,0.6150,0.3850,0.0029
conformal_risk_filter,embodiment_shift,5,600,0.6300,0.3700,0.0025
conformal_risk_filter,embodiment_shift,6,600,0.6650,0.3350,0.0251
conformal_risk_filter,combined_stress,0,600,0.5367,0.4633,0.0204
conformal_risk_filter,combined_stress,1,600,0.5533,0.4467,0.0034
conformal_risk_filter,combined_stress,2,600,0.5300,0.4700,0.0287
conformal_risk_filter,combined_stress,3,600,0.5717,0.4283,0.0178
conformal_risk_filter,combined_stress,4,600,0.5467,0.4533,0.0062
conformal_risk_filter,combined_stress,5,600,0.5850,0.4150,0.0176
conformal_risk_filter,combined_stress,6,600,0.5567,0.4433,0.0181
proposed_branch_mechanism,nominal,0,600,0.7583,0.2417,0.0071
proposed_branch_mechanism,nominal,1,600,0.7550,0.2450,0.0100
proposed_branch_mechanism,nominal,2,600,0.7550,0.2450,0.0068
proposed_branch_mechanism,nominal,3,600,0.7300,0.2700,0.0159
proposed_branch_mechanism,nominal,4,600,0.7483,0.2517,0.0002
proposed_branch_mechanism,nominal,5,600,0.7617,0.2383,0.0001
proposed_branch_mechanism,nominal,6,600,0.7533,0.2467,0.0131
proposed_branch_mechanism,hidden_mode_shift,0,600,0.6850,0.3150,0.0013
proposed_branch_mechanism,hidden_mode_shift,1,600,0.7233,0.2767,0.0233
proposed_branch_mechanism,hidden_mode_shift,2,600,0.7000,0.3000,0.0167
proposed_branch_mechanism,hidden_mode_shift,3,600,0.6850,0.3150,0.0041
proposed_branch_mechanism,hidden_mode_shift,4,600,0.6700,0.3300,0.0136
proposed_branch_mechanism,hidden_mode_shift,5,600,0.7133,0.2867,0.0165
proposed_branch_mechanism,hidden_mode_shift,6,600,0.7050,0.2950,0.0035
proposed_branch_mechanism,embodiment_shift,0,600,0.6983,0.3017,0.0000
proposed_branch_mechanism,embodiment_shift,1,600,0.7017,0.2983,0.0105
proposed_branch_mechanism,embodiment_shift,2,600,0.6817,0.3183,0.0137
proposed_branch_mechanism,embodiment_shift,3,600,0.7033,0.2967,0.0103
proposed_branch_mechanism,embodiment_shift,4,600,0.6850,0.3150,0.0107
proposed_branch_mechanism,embodiment_shift,5,600,0.7050,0.2950,0.0039
proposed_branch_mechanism,embodiment_shift,6,600,0.7317,0.2683,0.0181
proposed_branch_mechanism,combined_stress,0,600,0.6467,0.3533,0.0091
proposed_branch_mechanism,combined_stress,1,600,0.6533,0.3467,0.0162
proposed_branch_mechanism,combined_stress,2,600,0.6533,0.3467,0.0005
proposed_branch_mechanism,combined_stress,3,600,0.6767,0.3233,0.0262
proposed_branch_mechanism,combined_stress,4,600,0.6650,0.3350,0.0119
proposed_branch_mechanism,combined_stress,5,600,0.6500,0.3500,0.0163
proposed_branch_mechanism,combined_stress,6,600,0.6900,0.3100,0.0190
oracle_branch_upper_bound,nominal,0,600,0.8133,0.1867,0.0058
oracle_branch_upper_bound,nominal,1,600,0.7867,0.2133,0.0186
oracle_branch_upper_bound,nominal,2,600,0.8350,0.1650,0.0200
oracle_branch_upper_bound,nominal,3,600,0.8167,0.1833,0.0055
oracle_branch_upper_bound,nominal,4,600,0.8217,0.1783,0.0073
oracle_branch_upper_bound,nominal,5,600,0.8033,0.1967,0.0121
oracle_branch_upper_bound,nominal,6,600,0.8100,0.1900,0.0111
oracle_branch_upper_bound,hidden_mode_shift,0,600,0.7817,0.2183,0.0077
oracle_branch_upper_bound,hidden_mode_shift,1,600,0.7750,0.2250,0.0149
oracle_branch_upper_bound,hidden_mode_shift,2,600,0.7817,0.2183,0.0118
oracle_branch_upper_bound,hidden_mode_shift,3,600,0.7917,0.2083,0.0147
oracle_branch_upper_bound,hidden_mode_shift,4,600,0.7483,0.2517,0.0209
oracle_branch_upper_bound,hidden_mode_shift,5,600,0.7817,0.2183,0.0114
oracle_branch_upper_bound,hidden_mode_shift,6,600,0.7750,0.2250,0.0009
oracle_branch_upper_bound,embodiment_shift,0,600,0.7867,0.2133,0.0040
oracle_branch_upper_bound,embodiment_shift,1,600,0.7650,0.2350,0.0038
oracle_branch_upper_bound,embodiment_shift,2,600,0.7533,0.2467,0.0253
oracle_branch_upper_bound,embodiment_shift,3,600,0.8050,0.1950,0.0193
oracle_branch_upper_bound,embodiment_shift,4,600,0.7633,0.2367,0.0146
oracle_branch_upper_bound,embodiment_shift,5,600,0.7800,0.2200,0.0010
