ablation,metric,mean,ci95,n
active_perception_only,assumption_diagnosis_accuracy,0.4995659722222222,0.08763070415211727,10
active_perception_only,unsafe_affordance_rejection_recall,0.13894965277777777,0.10764253053384039,10
active_perception_only,false_rejection_rate,0.08215277777777778,0.08005091756415732,10
active_perception_only,calibration_error,0.10742484212096762,0.05467311782468528,10
active_perception_only,test_informativeness,0.025616169699198853,0.010808500896402382,10
active_perception_only,assumption_coverage,0.4266276041666667,0.04108953237030273,10
active_perception_only,counterfactual_test_validity,0.2334502777777778,0.02699207234095787,10
active_perception_only,task_success,0.4876736111111111,0.16731838914470543,10
active_perception_only,physical_violation_rate,0.34270833333333334,0.12073570458211455,10
active_perception_only,damage_spill_collision_rate,0.07248263888888888,0.05781788528517694,10
active_perception_only,test_query_cost,0.01366145815625,0.0022182549416778327,10
active_perception_only,human_query_burden,0.0,0.0,10
active_perception_only,planning_regret_to_oracle,0.20790423902745178,0.03093410057312329,10
active_perception_only,robust_utility,-0.10623697119402875,0.2618186578496587,10
full_risk_bounded_executable_common_sense_tests_v5,assumption_diagnosis_accuracy,0.6747395833333334,0.10057274481692702,10
full_risk_bounded_executable_common_sense_tests_v5,unsafe_affordance_rejection_recall,0.5636111111111111,0.12461971757140493,10
full_risk_bounded_executable_common_sense_tests_v5,false_rejection_rate,0.3723958333333333,0.1768471695163795,10
full_risk_bounded_executable_common_sense_tests_v5,calibration_error,0.16519572642655342,0.05828973470683988,10
full_risk_bounded_executable_common_sense_tests_v5,test_informativeness,0.09426303475405041,0.021870078827616952,10
full_risk_bounded_executable_common_sense_tests_v5,assumption_coverage,0.3561197916666667,0.04417267252715814,10
full_risk_bounded_executable_common_sense_tests_v5,counterfactual_test_validity,0.4086151388888889,0.0805895645652637,10
full_risk_bounded_executable_common_sense_tests_v5,task_success,0.5971354166666667,0.09334218060039842,10
full_risk_bounded_executable_common_sense_tests_v5,physical_violation_rate,0.19453125,0.12033107581220878,10
full_risk_bounded_executable_common_sense_tests_v5,damage_spill_collision_rate,0.05720486111111111,0.06601274390075502,10
full_risk_bounded_executable_common_sense_tests_v5,test_query_cost,0.018542779135416666,0.003465087822565793,10
full_risk_bounded_executable_common_sense_tests_v5,human_query_burden,0.0,0.0,10
full_risk_bounded_executable_common_sense_tests_v5,planning_regret_to_oracle,0.15356089679610693,0.044103525503589466,10
full_risk_bounded_executable_common_sense_tests_v5,robust_utility,0.1940103854282406,0.25392588365694657,10
geometry_only_affordance_tests,assumption_diagnosis_accuracy,0.38133680555555555,0.13357318720650047,10
geometry_only_affordance_tests,unsafe_affordance_rejection_recall,0.10167534722222223,0.08768450260403066,10
geometry_only_affordance_tests,false_rejection_rate,0.16297743055555555,0.11520964838115892,10
geometry_only_affordance_tests,calibration_error,0.19837858282319612,0.057475739156174994,10
geometry_only_affordance_tests,test_informativeness,0.04412551790804024,0.01623421786818697,10
geometry_only_affordance_tests,assumption_coverage,0.4568359375,0.05084849477698736,10
geometry_only_affordance_tests,counterfactual_test_validity,0.25949211805555555,0.0472395895672368,10
geometry_only_affordance_tests,task_success,0.5068576388888889,0.05560268579811043,10
geometry_only_affordance_tests,physical_violation_rate,0.2977430555555555,0.09358360662399767,10
geometry_only_affordance_tests,damage_spill_collision_rate,0.09027777777777778,0.07411800617802829,10
geometry_only_affordance_tests,test_query_cost,0.012228703130208332,0.003178314666636474,10
geometry_only_affordance_tests,human_query_burden,0.0,0.0,10
geometry_only_affordance_tests,planning_regret_to_oracle,0.2238857722364335,0.025050666562156813,10
geometry_only_affordance_tests,robust_utility,-0.08192341462129787,0.1751723914442786,10
language_only_common_sense,assumption_diagnosis_accuracy,0.25512152777777775,0.11888894403812214,10
language_only_common_sense,unsafe_affordance_rejection_recall,0.0,0.0,10
language_only_common_sense,false_rejection_rate,0.0,0.0,10
language_only_common_sense,calibration_error,0.1511215546470176,0.0750407035460059,10
language_only_common_sense,test_informativeness,0.0008227576142576676,0.0014870235238182222,10
language_only_common_sense,assumption_coverage,0.5281901041666667,0.050024540516560356,10
language_only_common_sense,counterfactual_test_validity,0.20647277777777778,0.002349256264868668,10
language_only_common_sense,task_success,0.43949652777777776,0.07601781946272897,10
language_only_common_sense,physical_violation_rate,0.3456597222222222,0.12030871471162184,10
