split,budget,comparison,metric,mean,ci95,lower95,upper95,n
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_human_oracle_query_policy,coverage,0.025694444444444457,0.13380875278423876,-0.1081143083397943,0.15950319722868322,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_human_oracle_query_policy,accepted_success,0.21122852822005364,0.18864410817669666,0.02258442004335698,0.3998726363967503,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_human_oracle_query_policy,accepted_safety_violation,-0.12864199288388678,0.23921431368549587,-0.3678563065693826,0.11057232080160909,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_human_oracle_query_policy,accepted_damage,0.006666666666666666,0.013066666666666664,-0.006399999999999998,0.019733333333333332,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_human_oracle_query_policy,accepted_regret,-0.04092163267007008,0.04442076784935172,-0.0853424005194218,0.0034991351792816386,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_human_oracle_query_policy,accepted_utility,0.4304499453186079,0.286099596165274,0.14435034915333395,0.7165495414838818,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_active_perception_planner,coverage,0.30069444444444443,0.07077050651158802,0.22992393793285643,0.37146495095603244,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_active_perception_planner,accepted_success,0.6895833333333333,0.29561190069639165,0.3939714326369417,0.985195234029725,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_active_perception_planner,accepted_safety_violation,0.059130434782608696,0.11589565217391305,-0.05676521739130436,0.17502608695652175,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_active_perception_planner,accepted_damage,0.006666666666666666,0.013066666666666664,-0.006399999999999998,0.019733333333333332,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_active_perception_planner,accepted_regret,0.019798564198331446,0.015745755941179534,0.004052808257151912,0.035544320139510976,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_active_perception_planner,accepted_utility,0.578720089716756,0.2805365194659422,0.2981835702508138,0.8592566091826983,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_conformal_risk_filter,coverage,-0.030902777777777793,0.10618726553094607,-0.13709004330872387,0.07528448775316827,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_conformal_risk_filter,accepted_success,0.07535650623885919,0.09315226423328282,-0.017795757994423636,0.16850877047214202,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_conformal_risk_filter,accepted_safety_violation,-0.030661732563808202,0.1456822885788267,-0.1763440211426349,0.1150205560150185,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_conformal_risk_filter,accepted_damage,0.006666666666666666,0.013066666666666664,-0.006399999999999998,0.019733333333333332,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_conformal_risk_filter,accepted_regret,-0.06411227921315378,0.03884359288361296,-0.10295587209676674,-0.025268686329540824,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_conformal_risk_filter,accepted_utility,0.16914174317056258,0.21831461065840504,-0.04917286748784247,0.3874563538289676,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_policy_repair_from_failed_rollouts,coverage,0.30694444444444446,0.06769313995409722,0.23925130449034726,0.37463758439854167,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_policy_repair_from_failed_rollouts,accepted_success,0.7895833333333333,0.27536525827155994,0.5142180750617733,1.0649485916048933,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_policy_repair_from_failed_rollouts,accepted_safety_violation,0.059130434782608696,0.11589565217391305,-0.05676521739130436,0.17502608695652175,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_policy_repair_from_failed_rollouts,accepted_damage,0.006666666666666666,0.013066666666666664,-0.006399999999999998,0.019733333333333332,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_policy_repair_from_failed_rollouts,accepted_regret,0.008347664198331444,0.01423859734345515,-0.005890933145123706,0.022586261541786595,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_policy_repair_from_failed_rollouts,accepted_utility,0.6995971508278671,0.3400984371456806,0.3594987136821865,1.0396955879735477,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_executable_common_sense_tests_v4,coverage,0.28368055555555555,0.07568867077878472,0.20799188477677083,0.35936922633434026,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_executable_common_sense_tests_v4,accepted_success,0.4895833333333333,0.33402731577699624,0.15555601755633708,0.8236106491103296,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_executable_common_sense_tests_v4,accepted_safety_violation,0.059130434782608696,0.11589565217391305,-0.05676521739130436,0.17502608695652175,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_executable_common_sense_tests_v4,accepted_damage,0.006666666666666666,0.013066666666666664,-0.006399999999999998,0.019733333333333332,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_executable_common_sense_tests_v4,accepted_regret,0.0004240344364266839,0.02909406308660381,-0.028670028650177128,0.029518097523030494,10
low_signal_common_sense_stress,0.00,risk_bounded_executable_common_sense_tests_v5_minus_executable_common_sense_tests_v4,accepted_utility,0.39409136868501005,0.31160744386970884,0.0824839248153012,0.7056988125547189,10
low_signal_common_sense_stress,0.05,risk_bounded_executable_common_sense_tests_v5_minus_human_oracle_query_policy,coverage,-0.00798611111111112,0.16939029448710044,-0.17737640559821155,0.16140418337598933,10
