comparison,metric,mean,ci95,lower95,upper95,n,better_seeds
risk_bounded_executable_common_sense_tests_v5_minus_direct_vlm_action_policy,assumption_diagnosis_accuracy,0.5923611111111111,0.13862652913150006,0.45373458197961103,0.7309876402426112,10,10
risk_bounded_executable_common_sense_tests_v5_minus_direct_vlm_action_policy,unsafe_affordance_rejection_recall,0.4494444444444444,0.13403620710395683,0.3154082373404876,0.5834806515484012,10,10
risk_bounded_executable_common_sense_tests_v5_minus_direct_vlm_action_policy,false_rejection_rate,0.5098958333333333,0.2077732940780377,0.30212253925529564,0.717669127411371,10,8
risk_bounded_executable_common_sense_tests_v5_minus_direct_vlm_action_policy,calibration_error,0.10117336375206645,0.08788954210414245,0.013283821647924007,0.18906290585620888,10,8
risk_bounded_executable_common_sense_tests_v5_minus_direct_vlm_action_policy,test_informativeness,0.10225520195591585,0.01918849685768423,0.08306670509823162,0.12144369881360008,10,10
risk_bounded_executable_common_sense_tests_v5_minus_direct_vlm_action_policy,assumption_coverage,-0.16236979166666668,0.06405458023256616,-0.22642437189923284,-0.09831521143410052,10,1
risk_bounded_executable_common_sense_tests_v5_minus_direct_vlm_action_policy,counterfactual_test_validity,0.3207288194444445,0.07134374620738028,0.24938507323706421,0.39207256565182474,10,10
risk_bounded_executable_common_sense_tests_v5_minus_direct_vlm_action_policy,task_success,0.24565972222222224,0.13473954493203835,0.11092017729018389,0.3803992671542606,10,8
risk_bounded_executable_common_sense_tests_v5_minus_direct_vlm_action_policy,physical_violation_rate,-0.012673611111111116,0.21239443033723876,-0.22506804144834988,0.19972081922612764,10,4
risk_bounded_executable_common_sense_tests_v5_minus_direct_vlm_action_policy,damage_spill_collision_rate,-0.059548611111111115,0.07655544206151212,-0.13610405317262322,0.017006830950401,10,3
risk_bounded_executable_common_sense_tests_v5_minus_direct_vlm_action_policy,test_query_cost,0.020752480005208334,0.003189676964656873,0.01756280304055146,0.023942156969865208,10,10
risk_bounded_executable_common_sense_tests_v5_minus_direct_vlm_action_policy,human_query_burden,0.0,0.0,0.0,0.0,10,0
risk_bounded_executable_common_sense_tests_v5_minus_direct_vlm_action_policy,planning_regret_to_oracle,-0.12971596528988957,0.04877845596143639,-0.17849442125132597,-0.08093750932845319,10,1
risk_bounded_executable_common_sense_tests_v5_minus_direct_vlm_action_policy,robust_utility,0.3731513433835225,0.31216754726073703,0.06098379612278548,0.6853188906442595,10,8
risk_bounded_executable_common_sense_tests_v5_minus_llm_common_sense_replanner,assumption_diagnosis_accuracy,0.29618055555555556,0.13120315693579057,0.164977398619765,0.4273837124913461,10,9
risk_bounded_executable_common_sense_tests_v5_minus_llm_common_sense_replanner,unsafe_affordance_rejection_recall,0.4494444444444444,0.13403620710395683,0.3154082373404876,0.5834806515484012,10,10
risk_bounded_executable_common_sense_tests_v5_minus_llm_common_sense_replanner,false_rejection_rate,0.5098958333333333,0.2077732940780377,0.30212253925529564,0.717669127411371,10,8
risk_bounded_executable_common_sense_tests_v5_minus_llm_common_sense_replanner,calibration_error,-0.014599474155464783,0.11282287332607752,-0.1274223474815423,0.09822339917061274,10,5
risk_bounded_executable_common_sense_tests_v5_minus_llm_common_sense_replanner,test_informativeness,0.10117589162263217,0.01781152744185459,0.08336436418077758,0.11898741906448676,10,10
risk_bounded_executable_common_sense_tests_v5_minus_llm_common_sense_replanner,assumption_coverage,-0.11692708333333335,0.06401361231211795,-0.1809406956454513,-0.052913471021215394,10,1
risk_bounded_executable_common_sense_tests_v5_minus_llm_common_sense_replanner,counterfactual_test_validity,0.2206192361111111,0.07261232417521367,0.14800691193589743,0.29323156028632474,10,10
risk_bounded_executable_common_sense_tests_v5_minus_llm_common_sense_replanner,task_success,0.16041666666666668,0.09949878420857668,0.06091788245809,0.25991545087524337,10,9
risk_bounded_executable_common_sense_tests_v5_minus_llm_common_sense_replanner,physical_violation_rate,-0.16510416666666666,0.18832697102733933,-0.353431137694006,0.023222804360672672,10,3
risk_bounded_executable_common_sense_tests_v5_minus_llm_common_sense_replanner,damage_spill_collision_rate,-0.09236111111111112,0.10863314392021617,-0.20099425503132728,0.016272032809105053,10,2
risk_bounded_executable_common_sense_tests_v5_minus_llm_common_sense_replanner,test_query_cost,0.020119943505208335,0.0027098460539383986,0.017410097451269937,0.022829789559146732,10,10
risk_bounded_executable_common_sense_tests_v5_minus_llm_common_sense_replanner,human_query_burden,0.0,0.0,0.0,0.0,10,0
risk_bounded_executable_common_sense_tests_v5_minus_llm_common_sense_replanner,planning_regret_to_oracle,-0.14482704041979055,0.04952387908820767,-0.1943509195079982,-0.09530316133158288,10,0
risk_bounded_executable_common_sense_tests_v5_minus_llm_common_sense_replanner,robust_utility,0.4892556243386977,0.2964999555643616,0.1927556687743361,0.7857555799030593,10,9
risk_bounded_executable_common_sense_tests_v5_minus_sequential_3d_affordance_reasoner,assumption_diagnosis_accuracy,0.22743055555555552,0.19884182727399824,0.028588728281557285,0.42627238282955376,10,8
risk_bounded_executable_common_sense_tests_v5_minus_sequential_3d_affordance_reasoner,unsafe_affordance_rejection_recall,0.4494444444444444,0.13403620710395683,0.3154082373404876,0.5834806515484012,10,10
risk_bounded_executable_common_sense_tests_v5_minus_sequential_3d_affordance_reasoner,false_rejection_rate,0.5098958333333333,0.2077732940780377,0.30212253925529564,0.717669127411371,10,8
risk_bounded_executable_common_sense_tests_v5_minus_sequential_3d_affordance_reasoner,calibration_error,0.001121111316229588,0.12897975211436277,-0.1278586407981332,0.13010086343059235,10,4
