stress_level,method,task,assumption,seed,task_success,unsafe_affordance_rejection_recall,physical_violation_rate,test_query_cost,human_query_burden,planning_regret_to_oracle
0.0,llm_common_sense_replanner,stackable_object_placement,support_stability,0,0.673077,0.115385,0.153846,0.001104,0.000000,0.131759
0.0,llm_common_sense_replanner,stackable_object_placement,support_stability,1,0.692308,0.035714,0.384615,0.001104,0.000000,0.169618
0.0,llm_common_sense_replanner,stackable_object_placement,support_stability,2,0.730769,0.000000,0.288462,0.000736,0.000000,0.155518
0.0,llm_common_sense_replanner,stackable_object_placement,support_stability,3,0.692308,0.125000,0.307692,0.001472,0.000000,0.163613
0.0,llm_common_sense_replanner,stackable_object_placement,support_stability,4,0.596154,0.095238,0.211538,0.001104,0.000000,0.159684
0.0,llm_common_sense_replanner,stackable_object_placement,support_stability,5,0.615385,0.032258,0.384615,0.000368,0.000000,0.193628
0.0,llm_common_sense_replanner,stackable_object_placement,support_stability,6,0.692308,0.000000,0.307692,0.001472,0.000000,0.170024
0.0,llm_common_sense_replanner,stackable_object_placement,containment_or_leakage,0,0.692308,0.083333,0.288462,0.001472,0.000000,0.145948
0.0,llm_common_sense_replanner,stackable_object_placement,containment_or_leakage,1,0.788462,0.120000,0.269231,0.001104,0.000000,0.125745
0.0,llm_common_sense_replanner,stackable_object_placement,containment_or_leakage,2,0.615385,0.034483,0.173077,0.000368,0.000000,0.134116
0.0,llm_common_sense_replanner,stackable_object_placement,containment_or_leakage,3,0.557692,0.086957,0.288462,0.001104,0.000000,0.151229
0.0,llm_common_sense_replanner,stackable_object_placement,containment_or_leakage,4,0.692308,0.040000,0.269231,0.001472,0.000000,0.149734
0.0,llm_common_sense_replanner,stackable_object_placement,containment_or_leakage,5,0.673077,0.074074,0.211538,0.001104,0.000000,0.128324
0.0,llm_common_sense_replanner,stackable_object_placement,containment_or_leakage,6,0.769231,0.047619,0.211538,0.000000,0.000000,0.125104
0.0,llm_common_sense_replanner,stackable_object_placement,rigidity_or_deformation,0,0.673077,0.035714,0.230769,0.001472,0.000000,0.148998
0.0,llm_common_sense_replanner,stackable_object_placement,rigidity_or_deformation,1,0.615385,0.038462,0.250000,0.000736,0.000000,0.145122
0.0,llm_common_sense_replanner,stackable_object_placement,rigidity_or_deformation,2,0.596154,0.090909,0.307692,0.001104,0.000000,0.162669
0.0,llm_common_sense_replanner,stackable_object_placement,rigidity_or_deformation,3,0.673077,0.111111,0.269231,0.001104,0.000000,0.130151
0.0,llm_common_sense_replanner,stackable_object_placement,rigidity_or_deformation,4,0.596154,0.041667,0.269231,0.000000,0.000000,0.153323
0.0,llm_common_sense_replanner,stackable_object_placement,rigidity_or_deformation,5,0.769231,0.043478,0.230769,0.000736,0.000000,0.122106
0.0,llm_common_sense_replanner,stackable_object_placement,rigidity_or_deformation,6,0.750000,0.083333,0.326923,0.001104,0.000000,0.157017
0.0,llm_common_sense_replanner,stackable_object_placement,tool_reach_and_contact,0,0.692308,0.125000,0.115385,0.000000,0.000000,0.111430
0.0,llm_common_sense_replanner,stackable_object_placement,tool_reach_and_contact,1,0.653846,0.000000,0.230769,0.000736,0.000000,0.142488
0.0,llm_common_sense_replanner,stackable_object_placement,tool_reach_and_contact,2,0.769231,0.052632,0.192308,0.001104,0.000000,0.116000
0.0,llm_common_sense_replanner,stackable_object_placement,tool_reach_and_contact,3,0.711538,0.043478,0.250000,0.000000,0.000000,0.141071
0.0,llm_common_sense_replanner,stackable_object_placement,tool_reach_and_contact,4,0.730769,0.076923,0.288462,0.000000,0.000000,0.147191
0.0,llm_common_sense_replanner,stackable_object_placement,tool_reach_and_contact,5,0.653846,0.000000,0.230769,0.000000,0.000000,0.139464
0.0,llm_common_sense_replanner,stackable_object_placement,tool_reach_and_contact,6,0.750000,0.090909,0.250000,0.000736,0.000000,0.134228
0.0,llm_common_sense_replanner,stackable_object_placement,articulation_direction,0,0.634615,0.040000,0.230769,0.001472,0.000000,0.140385
0.0,llm_common_sense_replanner,stackable_object_placement,articulation_direction,1,0.634615,0.142857,0.211538,0.000736,0.000000,0.135925
0.0,llm_common_sense_replanner,stackable_object_placement,articulation_direction,2,0.615385,0.041667,0.250000,0.000736,0.000000,0.143941
0.0,llm_common_sense_replanner,stackable_object_placement,articulation_direction,3,0.653846,0.157895,0.326923,0.001104,0.000000,0.145483
0.0,llm_common_sense_replanner,stackable_object_placement,articulation_direction,4,0.615385,0.000000,0.211538,0.000736,0.000000,0.145933
0.0,llm_common_sense_replanner,stackable_object_placement,articulation_direction,5,0.788462,0.041667,0.230769,0.000368,0.000000,0.130202
0.0,llm_common_sense_replanner,stackable_object_placement,articulation_direction,6,0.730769,0.045455,0.153846,0.000000,0.000000,0.119766
0.0,llm_common_sense_replanner,stackable_object_placement,clearance_and_collision,0,0.615385,0.035714,0.230769,0.001104,0.000000,0.140944
